Word                Frequency      URL_idx        
before—and          1              [2]            
behavior            3              [1]            
being               3              [1, 429]       
belong              1              [2]            
benefit             1              [1]            
benefits            1              [1]            
better              1              [1]            
between             3              [1]            
body                1              [2]            
bokmål              1              [2]            
book                1              [2]            
both                1              [1]            
browsing            1              [1]            
business            2              [2, 1632]      
but                 9              [1, 327, 475, 585]
buy                 1              [1]            
by                  13             [1, 321, 522]  
c                   4              [1]            
called              1              [2]            
can                 17             [1, 217, 287, 295, 520, 655, 695]
cannot              1              [2]            
capability          1              [1]            
captured            1              [1]            
captures            1              [1]            
cases               2              [2, 1159]      
categories          5              [1, 152, 183, 929]
categorize          2              [1, 594]       
category            1              [1]            
cause               1              [2]            
certain             1              [2]            
change              1              [2]            
changed             1              [2]            
changes             4              [1, 983]       
classes             1              [2]            
classified          1              [1]            
classify            1              [1]            
clustering          1              [2]            
code                3              [1, 734]       
collecting          1              [1]            
collection          1              [2]            
com                 2              [2, 2031]      
combining           1              [2]            
comes               1              [2]            
comfort             1              [1]            
commodity           1              [1]            
common              4              [2, 542, 656, 945]
community           1              [2]            
companies           6              [1, 432, 444]  
company             1              [2]            
compiled            2              [2, 1027]      
complement          1              [1]            
complete            1              [1]            
compromise          1              [2]            
computing           2              [2, 2202]      
concepts            2              [2, 2071]      
concern             1              [1]            
concerning          1              [1]            
concerns            4              [2, 872, 927, 1217]
concise             1              [2]            
condition           1              [1]            
conducted           1              [2]            
conferences         1              [2]            
confidentiality     1              [2]            
consent             2              [1]            
consequence         1              [2]            
considered          3              [1, 335, 446]  
construct           1              [1]            
contain             1              [2]            
content             12             [1, 104, 142, 163, 553, 556, 573, 632, 711]
contents            1              [1]            
contexts            1              [2]            
controversial       1              [1]            
copyright           3              [2, 1297, 1342]
copyright—but       1              [2]            
corporations        2              [1]            
countries           1              [2]            
cover               1              [2]            
covers              1              [2]            
create              1              [1]            
criminal            1              [1]            
currently           1              [2]            
customers           1              [2]            
data                87             [1, 159, 177, 179, 195, 227, 231, 234, 237, 368, 376, 395, 405, 417, 436, 485, 566, 620, 738]
database            4              [1]            
databases           1              [2]            
de                  1              [1]            
deducible           1              [2]            
define              1              [2]            
dependencies        1              [2]            
depending           1              [1]            
desired             2              [2, 721]       
develop             1              [1]            
developed           2              [2, 1096]      
difference          1              [2]            
different           4              [1, 379, 638]  
differentiated      1              [1]            
digital             2              [2, 1204]      
discovering         1              [2]            
discovery           4              [2, 347, 391, 622]
discrimination      1              [1]            
discussion          1              [2]            
disseminated        1              [1]            
divided             1              [1]            
do                  5              [1]            
document            1              [1]            
documents           3              [1, 648, 728]  
does                2              [1]            
domains             1              [2]            
dredging            1              [2]            
e                   4              [2, 2159, 2162, 2185]
economic            1              [2]            
economists          1              [2]            
edit                2              [1]            
effectively         1              [2]            
efforts             1              [2]            
enabled             1              [1]            
encourages          1              [1]            
encyclopedia        2              [1]            
enough              2              [2, 513]       
especially          2              [1]            
essential           1              [2]            
essentially         2              [1, 383]       
establish           1              [1]            
et                  1              [1]            
etc                 1              [2]            
ethical             2              [2, 900]       
ethics              3              [2, 874, 923]  
evaluate            2              [1]            
evaluating          1              [1]            
evaluation          1              [2]            
events              2              [1]            
eventually          1              [1]            
example             8              [1, 701]       
examples            1              [2]            
exchange            1              [2]            
exchanging          1              [2]            
exist               1              [2]            
exists              1              [2]            
expansion           1              [1]            
exploitation        1              [2]            
exploited           1              [2]            
export              2              [1]            
expose              1              [2]            
exposed             1              [2]            
extend              1              [1]            
extension           1              [2]            
extensions          1              [2]            
extract             1              [1]            
extracted           1              [2]            
extracting          2              [2, 1474]      
extraction          4              [1, 670]       
facilitates         1              [2]            
factors             1              [1]            
failed              1              [2]            
fair                2              [2, 1405]      
feature             3              [1, 672, 690]  
features            1              [1]            
field               1              [2]            
file                4              [1, 985]       
filed               1              [2]            
filter              1              [1]            
final               2              [2, 725]       
find                2              [1]            
fishing             2              [2, 324]       
following           2              [2, 1450]      
follows             1              [2]            
for                 20             [1, 377, 459, 609, 630]
forcing             1              [2]            
foreign             2              [1, 714]       
format              1              [2]            
forums              1              [2]            
found               1              [2]            
frameworks          1              [1]            
free                3              [1]            
from                17             [1, 407, 482, 570, 636, 707, 927]
fully               1              [2]            
function            1              [1]            
further             2              [1]            
future              1              [2]            
general             3              [1, 677]       
generally           1              [1]            
goal                2              [2, 1252]      
government          2              [1]            
greater             1              [2]            
groups              3              [2, 1171, 1182]
growing             1              [1]            
happening           1              [2]            
harvesting          1              [2]            
has                 8              [1, 247, 262, 412]
have                8              [1]            
help                1              [1]            
here                2              [1]            
heterogeneity       1              [1]            
high                2              [2, 1179]      
higher              2              [1, 626]       
history             2              [1]            
however             1              [2]            
i                   1              [2]            
identification      1              [2]            
identified          1              [2]            
identify            3              [1]            
identifying         1              [1]            
identity            1              [1]            
if                  2              [1, 529]       
implement           1              [1]            
implications        1              [2]            
importance          1              [2]            
important           1              [1]            
importantly         1              [2]            
in                  55             [1, 267, 305, 311, 467, 472, 528, 713, 835, 859, 936, 942]
inaccuracies        1              [1]            
inadvertent         1              [2]            
include             2              [2, 766]       
includes            1              [1]            
including           2              [1]            
incomprehensibility 1              [2]            
increased           2              [1]            
increasing          1              [1]            
individual          4              [1, 353]       
individuals         4              [1]            
information         13             [1, 567, 592, 991]
informed            1              [2]            
inline              1              [1]            
inner               1              [1]            
input               1              [2]            
integration         1              [1]            
intelligence        1              [2]            
intelligent         2              [1, 612]       
interests           1              [1]            
interpret           2              [1]            
interpretation      1              [2]            
into                4              [1, 732]       
invaded             1              [1]            
involves            3              [2, 540, 955]  
is                  42             [1, 190, 334, 342, 362, 477, 527, 550, 558, 634, 666, 674, 679, 702]
issues              1              [1]            
it                  9              [1, 440, 731]  
item                2              [1]            
its                 3              [1]            
itself              3              [1, 322]       
journal             2              [1, 910]       
k                   3              [2, 25, 26]    
key                 1              [2]            
kind                2              [1]            
knowledge           9              [1, 569, 744]  
lacks               1              [1]            
language            2              [2, 1854]      
languages           2              [1, 715]       
large               4              [2, 57, 94, 504]
law                 4              [1]            
lawful              1              [2]            
lawsuit             1              [2]            
lawsuits            1              [1]            
leading             1              [2]            
learned             3              [2, 716, 731]  
learning            6              [2, 80, 88, 105, 156, 1612]
led                 1              [2]            
legal               1              [2]            
legality            2              [2, 1366]      
legally             1              [1]            
legislation         2              [1]            
level               4              [1, 627]       
licenses            2              [2, 1456]      
like                2              [1]            
likeliness          1              [1]            
limit               1              [2]            
link                3              [1, 989]       
links               4              [1]            
logged              2              [1]            
logs                1              [1]            
long                1              [2]            
longstanding        1              [2]            
lost                1              [1]            
lower               1              [2]            
machine             5              [2, 87, 104, 155, 1611]
main                1              [1]            
major               1              [2]            
make                2              [1]            
makes               1              [1]            
manual              1              [2]            
many                5              [1]            
market              1              [2]            
marketing           1              [2]            
markup              1              [2]            
may                 7              [1]            
media               1              [2]            
meet                2              [2, 719]       
menu                2              [1]            
methodology         2              [2, 443]       
methods             2              [1]            
might               5              [1, 489, 505]  
mined               1              [2]            
miner               1              [2]            
miners              1              [2]            
mining              90             [1, 49, 77, 81, 86, 96, 100, 105, 126, 129, 140, 143, 146, 155, 160, 164, 167, 170, 186, 189, 215, 245, 285, 303, 320, 453, 487, 514, 535, 539, 549, 554, 557, 560, 621, 633, 694, 712, 739]
misused             1              [2]            
modeling            1              [2]            
models              3              [2, 835, 1845] 
models—in           1              [2]            
modified            1              [2]            
more                5              [1]            
multi               1              [1]            
multiple            1              [2]            
must                2              [2, 502]       
n                   1              [2]            
name                1              [2]            
named               1              [2]            
necessarily         1              [2]            
necessary           1              [2]            
needed              1              [1]            
needs               3              [1, 517, 719]  
newly               1              [2]            
no                  3              [1]            
nor                 2              [1]            
not                 12             [1, 588]       
nynorsk             1              [2]            
objectives          1              [1]            
obligations         1              [2]            
